taxon_id,actual_taxa,read1,read2,run,te
VB0029,Africa|NGA|NG_NRL-CHL-22-191|T12|2022-08-08,gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-191_1.fastq.gz,gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-191_2.fastq.gz,,T12
VB0030,Africa|NGA|NG_NRL-CHL-22-236|T12|2022-09-09,gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-236_1.fastq.gz,gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-236_2.fastq.gz,,T12
VB0233,Africa|ZAF|ERR1880784|T8|2001-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/dca739cb-f85c-47f9-b51e-4a08f39ad002/call-fastq_dl_sra/ERR1880784_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/dca739cb-f85c-47f9-b51e-4a08f39ad002/call-fastq_dl_sra/ERR1880784_2.fastq.gz,ERR1880784,T8
VB0232,Africa|ZAF|ERR1880783|T8|2001-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/54927eca-3879-45d1-aa65-fdeabf9b70a9/call-fastq_dl_sra/ERR1880783_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/54927eca-3879-45d1-aa65-fdeabf9b70a9/call-fastq_dl_sra/ERR1880783_2.fastq.gz,ERR1880783,T8
VB0126,Africa|ZWE|SRR227311|T11|2009-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/9b4b98c9-206a-4493-b750-7a6ba9209770/call-fastq_dl_sra/SRR227311_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/9b4b98c9-206a-4493-b750-7a6ba9209770/call-fastq_dl_sra/SRR227311_2.fastq.gz,SRR227311,T11
VB0076,Africa|KEN|KEN-2015-033|T13|2015-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/7a1ed056-7646-4d91-83f7-a7a34e7acd6a/call-fastq_dl_sra/SRR28466906_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/7a1ed056-7646-4d91-83f7-a7a34e7acd6a/call-fastq_dl_sra/SRR28466906_2.fastq.gz,SRR28466906,T13
VB0077,Africa|KEN|KEN-2019-064|T13|2019-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/c1e63f03-bf41-49c0-99b0-2c3b25850c28/call-fastq_dl_sra/SRR28466905_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/c1e63f03-bf41-49c0-99b0-2c3b25850c28/call-fastq_dl_sra/SRR28466905_2.fastq.gz,SRR28466905,T13
VB0242,Africa|ZWE|ERR3342505|T11|2015-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/ff870286-f595-4c69-8ce6-ffcbf03e7f3f/call-fastq_dl_sra/ERR3342505_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/ff870286-f595-4c69-8ce6-ffcbf03e7f3f/call-fastq_dl_sra/ERR3342505_2.fastq.gz,ERR3342505,T11
VB0109,Asia|LBN|ERR11876329|T13|2022-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/88831194-4eb8-46b5-9702-8686e964f2e0/call-fastq_dl_sra/ERR11876329_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/88831194-4eb8-46b5-9702-8686e964f2e0/call-fastq_dl_sra/ERR11876329_2.fastq.gz,ERR11876329,T13
VB0221,Africa|ETH|ERR1879387|T6|1998-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/2307c465-7905-45d6-9f43-d3174f02d621/call-fastq_dl_sra/ERR1879387_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/2307c465-7905-45d6-9f43-d3174f02d621/call-fastq_dl_sra/ERR1879387_2.fastq.gz,ERR1879387,T6
